index,published,topic,term,domain,language,valid,de,title,description,en,la,url,image,archive,content,quote,added,feed,country,ipcc,continent
fe2c7a08d907dcf0156720a4e52c588f,2026-05-01T23:20:30Z,Precipitation,pioggia italia,www.repubblica.it,it,0.7,"Wettervorhersage für heute, 2. Mai: sonniges Wochenende, ab Montag kehrt Regen zurück. So wird das Wetter in den nächsten Tagen in Italien sein","Previsioni meteo di oggi, 2 maggio: weekend con il sole, da lunedì torna la pioggia",Ecco che tempo farà nei prossimi giorni in Italia,"Weather forecast for today, May 2nd: sunny weekend, rain returns from Monday. Here's what the weather will be like in Italy in the next few days","Tempestas praenuntietur hodie, Maii 2nd: volutpat apricis, redit pluvia a Lunae. Ecce tempestas in Italia proximis diebus erit",https://www.repubblica.it/cronaca/2026/05/02/news/previsioni_meteo_oggi_2_maggio-425318761/,https://www.repstatic.it/content/nazionale/img/2026/05/02/012026764-718c2035-58c1-40ca-a8b4-693e2920e4a7.jpg,,"Il lungo ponte del Primo maggio sarà una vera e propria oasi di serenità meteorologica per l'Italia, grazie alla protezione di unalta pressione che, pur senza gli eccessi termici diffusi delle scorse… [+2916 chars]",,2026-05-04 21:35:26+00:00,wmo,Italy,MED,Europe
d6724948990d1b7869e3eba87e691663,2026-05-02T22:01:00Z,Snow&Ice,gelata emilia e romagna,www.repubblica.it,it,0.2,"Wettervorhersage, Kursänderung: Es kommt zu heftigen Regenfällen. Eine Woche der Stabilität in ganz Italien","Previsioni meteo, cambio di rotta: in arrivo forti piogge",Una settimana all’insegna della stabilità su tutta l’Italia,"Weather forecast, change of course: heavy rains coming. A week of stability throughout Italy","Weather forecast, change of course : imbribus supervenientibus. Septima stabilitatis per totam Italiam",https://www.repubblica.it/cronaca/2026/05/03/news/previsioni_meteo_cambio_di_rotta_in_arrivo_forti_piogge-425320229/,https://www.repstatic.it/content/nazionale/img/2026/05/02/230207095-da0188c4-fc9c-4aa6-b840-c3aaa98f99d3.jpg,,"L'anticiclone riporta la stabilità sull'Italia, garantendo tempo stabile dal sapore tardo primaverile dopo una fase di incertezza. Anche le temperature sono previste in deciso rialzo; tuttavia si tra… [+3083 chars]",,2026-05-05 21:33:13+00:00,wmo,Italy,MED,Europe
f83bdcae4b8d8be753a8b4b5e00012ca,2026-05-03T22:01:00Z,Snow&Ice,gelido nidau ins,www.repubblica.it,it,0.2,"Wetter, die Mai-Unruhen kommen, einschließlich Gewittern. Kühler im Norden, Schirokko im Süden. Es erwartet uns eine dynamische und komplexe Phase, die durch eine instabile Strömung gekennzeichnet ist, in der Luftmassen diametral entgegengesetzter Herkunft kollidieren.","Meteo, arrivano le perturbazioni di maggio, pure temporali. Più fresco al Nord, scirocco al Sud","Ci attende una fase dinamica e complessa, caratterizzata da un flusso instabile dove si scontreranno masse d'aria di origine diametralmente opposta.","Weather, the May disturbances are arriving, including thunderstorms. Cooler in the North, Sirocco in the South. A dynamic and complex phase awaits us, characterized by an unstable flow where air masses of diametrically opposite origins will collide.","Tempestas, Maias tumultus adveniunt, etiam tonitribus. Thracam in Aquilone, Sirocco in Austro. Phase dynamica et multiplex nos manet, e fluxu instabili insignita ubi massae aeris e diametro originum oppositarum occurrent.",https://www.repubblica.it/cronaca/2026/05/04/news/meteo_arrivano_le_perturbazioni_di_maggio_pure_temporali_piu_fresco_al_nord_scirocco_al_sud-425321439/,https://www.repstatic.it/content/nazionale/img/2026/05/03/221434653-6f8e4e8b-60fc-4d87-a160-fa46daa58724.jpg,,"LItalia si appresta a vivere una settimana di estrema dinamicità meteorologica. Lalta pressione, che ha dominato la scena nelle scorse settimane, sarà presto un ricordo: la ""porta atlantica"" si è spa… [+2347 chars]",,2026-05-05 21:33:13+00:00,wmo,Switzerland,WCE,Europe
1afe786c86d1d8bf76effa1f434c6b4e,2026-05-03T07:57:34Z,Snow&Ice,ghiaccio nidau ins,www.ilgiornale.it,it,0.3,Ein instabiler „Korridor“ bringt viel Regen zurück: Das ist der Ort. Zahlreiche Atlantikfronten werden die meiste Zeit der Woche ausgedehnte und anhaltende Phänomene und einen starken Temperaturabfall melden: Hier sind die Gebiete am stärksten vom schlechten Wetter betroffen,Un “corridoio” instabile riporta tanta pioggia: ecco dove,Numerosi fronti atlantici riporteranno fenomeni estesi e persistenti per gran parte della settimana e un netto calo termico: ecco le zone più colpite dal maltempo,An unstable “corridor” brings back a lot of rain: that's where. Numerous Atlantic fronts will report extensive and persistent phenomena for most of the week and a sharp drop in temperatures: here are the areas most affected by the bad weather,"Instabilis ""corridor"" multum pluviae reducit: ubi est. Multae frontes Atlanticae ampla et obstinata phaenomena nuntiabunt propter hebdomadem maximam et acutum in temperaturis stillam: hic sunt areae tempestatibus maxime affectae.",https://www.ilgiornale.it/news/meteo-e-clima/corridoio-instabile-riporta-tanta-pioggia-ecco-dove-2659214.html,https://img.ilgcdn.com/sites/default/files/styles/social/public/foto/2026/02/15/1771146601-meteo-documenti-google.jpg?_=1771146601,,"Il bel tempo ha le ore contate. Da lunedì 4 maggio sul bacino del Mediterraneo torneranno, in grande stile, fronti atlantici inviati da una vasta circolazione di bassa pressione centrata sulle Isole … [+2238 chars]",,2026-05-05 21:33:13+00:00,wmo,Switzerland,WCE,Europe
fedad68dde70765a676f956f4646eca1,2026-05-04T17:15:30Z,Storm,tempesta libia,www.ansa.it,it,0.3,"Kassationsgericht: „Es gibt keine Rechtfertigung für die Anwesenheit der ‚Ndrangheta im Aostatal‘.“ „Das angefochtene Urteil folgte zwar dem durch das Aufhebungsurteil vorgezeichneten Weg und folgte sklavisch der Begründung und dem erteilten Auftrag und baute die Partnerschaft nicht als Neugründung auf – wie es das erste Berufungsurteil getan hatte –, sondern als...","Cassazione, 'manca motivazione presenza 'ndrangheta in Valle d'Aosta'","""La pronuncia impugnata, pur ponendosi nel solco tracciato dalla sentenza rescindente e seguendone pedissequamente il ragionamento e il mandato impartito, costruendo il sodalizio non come neoformazione — come aveva fatto la prima sentenza di appello - ma c...…","Court of Cassation, 'there is no justification for the presence of the 'ndrangheta in the Aosta Valley'. ""The contested ruling, while following the path traced by the rescission sentence and slavishly following the reasoning and the mandate given, building the partnership not as a new formation - as the first appeal sentence had done - but as...","Court Cassation, 'non est iustificatio pro praesentia 'ndrangheta in valle Praetoriae'. ""Concertata dominatio, cum viam vestigans per sententiam rescissionis sequendo ac serviliter ratiocinationem et mandatum datum secutus, societatem aedificat non ut nova formatio - sicut prima sententia appellationis facta est - sed ut...",https://www.ansa.it/valledaosta/notizie/2026/05/04/cassazione-manca-motivazione-presenza-ndrangheta-in-valle-daosta_0231b3a1-bfcb-4b7e-9f9f-286523fbf132.html,https://www.ansa.it,,"""La pronuncia impugnata, pur
ponendosi nel solco tracciato dalla sentenza rescindente e
seguendone pedissequamente il ragionamento e il mandato
impartito, costruendo il sodalizio non come neoforma… [+2690 chars]",,2026-05-06 16:58:21+00:00,wmo,Libya,SAH,Africa
7d36d14b8a646647be922121f2e36a6c,2026-05-05T08:49:50Z,Thunderstorm,maltempo italia,www.ansa.it,it,0.7,"Woche mit schlechtem Wetter im mittleren Norden, Frühsommer im Süden. Regen und kühles Wetter im mittleren Norden, Sonne und Hochsommerwetter im äußersten Süden: Es wird eine Woche extremer Kontraste, die heute in Italien begann. Nach den Vorhersagen von Lorenzo Tedici, Meteorologe von iLMeteo. (HANDHABEN)","Settimana di maltempo al Centro-Nord, estate anticipata al Sud","Piogge e fresco al Centro-Nord, sole e clima da piena estate all'estremo Sud: sarà una settimana dai contrasti estremi quella che si è aperta oggi in Italia. Secondo le previsioni di Lorenzo Tedici, meteorologo de iLMeteo. (ANSA)","Week of bad weather in the Centre-North, early summer in the South. Rain and cool weather in the Centre-North, sun and mid-summer weather in the far South: it will be a week of extreme contrasts that opened today in Italy. According to the forecasts of Lorenzo Tedici, meteorologist of iLMeteo. (HANDLE)","Hebdomada tempestatum tempestatum in Centre-North, prima aestate in meridie. Imbres et frigora tempestatum in Centre-Septentrionali, sole et tempestate aestatis in extremo meridie: hebdomada extremae contrariorum quae hodie in Italia aperiuntur, erit. Secundum praenuntiationem Laurentii Tedici, astrologus de iLMeteo. (CONTRACTO)",https://www.ansa.it/sito/notizie/cronaca/2026/05/05/settimana-di-maltempo-al-centro-nord-estate-anticipata-al-sud_952c03c4-db3b-4032-9280-8d799e7f719c.html,https://www.ansa.it/webimages/img_1129x635/2025/12/16/169240344700334eff7440f88067a977.jpg,,"Piogge e fresco al Centro-Nord, sole
e clima da piena estate all'estremo Sud: sarà una settimana dai
contrasti estremi quella che si è aperta oggi in Italia. Secondo
le previsioni di Lorenzo Tedic… [+2053 chars]",,2026-05-06 21:36:21+00:00,wmo,Italy,MED,Europe
d1097a46f05455a65d89dae3a2e8bfeb,2026-05-06T09:58:31Z,Storm,mareggiata friuli venezia giulia,travel.thewom.it,it,0.3,"Schlechtes Wetter in der Basilikata: Plan B, um die Reise heute zu retten. Der Regen stoppt die Pläne in der Basilikata: Hier können Sie Ihr Wochenende überdenken
Der Beitrag Schlechtes Wetter in der Basilikata: Plan B, um die heutige Reise zu retten, erschien zuerst auf The Wom Travel.",Maltempo in Basilicata: il piano B per salvare il viaggio oggi,"La pioggia ferma i piani in Basilicata: ecco dove ripensare il tuo weekend
The post Maltempo in Basilicata: il piano B per salvare il viaggio oggi appeared first on The Wom Travel.","Bad weather in Basilicata: plan B to save the trip today. Rain stops plans in Basilicata: here's where to rethink your weekend
The post Bad weather in Basilicata: plan B to save the trip today appeared first on The Wom Travel.","Tempestatibus in Lucania: consilium B hodie iter servare. Pluviis sistit consilia in Lucania: hic est ubi recogitamus tua volutpat
Post Tempestates in Lucania: consilium B iter hodie servandum apparuit primum in The Wom Travel.",https://travel.thewom.it/meteo/maltempo-in-basilicata-mete-alternative.html,https://travel.thewom.it/content/uploads/2026/05/maltempo-in-basilicata-il-piano-b-per-salvare-il-viaggio-oggi.jpg,,"Quando il cielo si fa grigio sulla Basilicata e le notizie parlano di piogge insistenti e interventi straordinari, la prima reazione è spesso quella di cancellare tutto. 
E se invece fosse il moment… [+5622 chars]",,2026-05-08 11:50:41+00:00,wmo,Italy,MED,Europe
bec2d36620141f2b1270dac6311e113e,2026-05-06T14:06:51Z,Thunderstorm,maltempo italia,www.ansa.it,it,0.7,"Aliandro (Fi), Bardi-Kommissar für schlechtes Wetter, ist ein Zeichen des Vertrauens der Regierung. Der Regionalrat von Forza Italia, Genuario Aliandro, bezeichnete die Ernennung des Präsidenten der Region Basilikata, Vito Bardi, zum Delegierten des Kommissars für den Unwetternotstand als „eine Bestätigung des Vertrauens der nationalen Regierung in die Basilikata und die …“","Aliandro (Fi), Bardi commissario per il maltempo è segno di fiducia del Governo","Il consigliere regionale di Forza Italia Genuario Aliandro, ha definito la nomina del presidente della Regione Basilicata, Vito Bardi, a Commissario delegato per l'emergenza maltempo ""una conferma della fiducia del Governo nazionale verso la Basilicata e l...…","Aliandro (Fi), Bardi commissioner for bad weather is a sign of the Government's confidence. Forza Italia regional councilor Genuario Aliandro defined the appointment of the president of the Basilicata Region, Vito Bardi, as Commissioner delegate for the bad weather emergency ""a confirmation of the national government's trust in Basilicata and the...…","Aliandro (Fi), Bardi commissarius tempestatibus signum est fiduciae Gubernii. Forza Italia consiliarius regionalis Genuario Aliandro definivit constitutionem praesidis Regionis Basilicatae Vito Bardi, ut delegatus commissarius tempestatibus tempestatibus ""confirmatio fiduciae nationalis imperii in Lucania et ....",https://www.ansa.it/basilicata/notizie/2026/05/06/aliandro-fi-bardi-commissario-per-il-maltempo-e-segno-di-fiducia-del-governo_baef7938-f568-40bd-8a87-2150647f2e00.html,https://www.ansa.it/webimages/img_1129x635/2026/5/6/de572b3ada7636d7568c39f21665672e.jpg,,"Se hai scelto di non accettare i cookie di profilazione e tracciamento, puoi aderire all’abbonamento ""Consentless"" a un costo molto accessibile, oppure scegliere un altro abbonamento per accedere ad … [+320 chars]",,2026-05-08 11:50:41+00:00,wmo,Italy,MED,Europe
b2e05f12082403193eec717ebfc34f5b,2026-05-08T15:19:50Z,Precipitation,piogge torrenziali friuli venezia giulia,www.ansa.it,it,0.3,"Der Ruf seltener Mütter an Premierministerin Meloni: „Mehr Leben für unsere Kinder“. „Präsident, ich schreibe Ihnen, damit unter den vielen Definitionen von Mutterschaft unsere nicht vergessen wird: die derjenigen, die es lieben zu wissen, dass Zeit kein erworbenes Recht, sondern ein sehr teures Darlehen ist.“ (ANSA)","Il grido delle mamme rare alla premier Meloni, 'più vita ai nostri figli'","""Presidente, Le scrivo perché, tra le tante definizioni di maternità, non venga dimenticata la nostra: quella di chi ama sapendo che il tempo non è un diritto acquisito, ma un prestito carissimo. (ANSA)","The cry of rare mothers to Prime Minister Meloni, 'more life for our children'. ""President, I am writing to you so that, among the many definitions of motherhood, ours is not forgotten: that of those who love knowing that time is not an acquired right, but a very expensive loan. (ANSA)","Clamor rararum matrum ad Meloni Primo Ministro, 'magis vita liberis nostris'. ""Praeses, ita tibi scribo ut, inter tot maternitatis definitiones, nostra non sit oblivio: amantium scientes tempus illud non ius acquisitum, sed mutuum valde sumptuosum.",https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2026/05/08/ansa-la-storiail-grido-delle-mamme-rare-a-meloni-piu-vita-ai-nostri_348d4681-54fd-4960-ad30-694a32abeba1.html,https://www.ansa.it/webimages/img_1129x635/2022/12/5/94ffd0dec204b68f8ab46723b4d359bf.jpg,,"""Presidente, Le scrivo perché, tra le tante definizioni di maternità, non venga dimenticata la nostra: quella di chi ama sapendo che il tempo non è un diritto acquisito, ma un prestito carissimo. I n… [+3742 chars]",,2026-05-10 16:15:05+00:00,wmo,Italy,MED,Europe
d0ae22c82e3e931bf729b1b876be923c,2026-05-08T17:39:39Z,Precipitation,acquazzone marchigiano,www.ilgiornale.it,it,0.3,"Galopp, tolles Wochenende in San Siro. Zwischen Samstag und Sonntag sind auf der Halbinsel fünf Rennbahnen in Betrieb. Das San Siro Snai Hippodrome in Mailand sticht hervor, da hier eine Konferenz von europäischem Rang stattfindet","Galoppo, fine settimana in grande spolvero a San Siro",Tra sabato e domenica saranno cinque gli ippodromi in attività nella penisola. In grande evidenza l’Ippodromo San Siro Snai di Milano che ospita un convegno di rango europeo,"Gallop, great weekend at San Siro. Between Saturday and Sunday there will be five racecourses in operation on the peninsula. The San Siro Snai Hippodrome in Milan stands out as it hosts a conference of European standing","Gallop, volutpat magna apud San Siro. Inter Sabbatum et Dominicam quinque stadii in peninsula operando erunt. Hippodrome Hippodrome San Siro Snai Mediolani eminet in colloquio exercitus stans Europae",https://www.ilgiornale.it/news/altri-sport/galoppo-fine-settimana-grande-spolvero-san-siro-2661816.html,https://img.ilgcdn.com/sites/default/files/styles/social/public/foto/2026/05/08/1778261912-facciata-principale-ippodromo-snai-san-siro-area.jpg?_=1778261912,,"Mentre nel mondo le corse di GR1 si susseguono e sfornano risultati straordinari, il nostro piccolo-grande Paese si accinge a gestire lultima tappa di avvicinamento al più grande evento primaverile, … [+6101 chars]",,2026-05-10 16:15:05+00:00,wmo,Italy,MED,Europe
